algorithm_name,average_rank
LightGBM,2.264705882352941
XGBoost,2.823529411764706
MLP,3.1176470588235294
RF,3.5
LR,3.9411764705882355
AutoEncoder,8.411764705882353
KNN,8.411764705882353
IForest,9.117647058823529
ECOD,10.058823529411764
COPOD,10.529411764705882
DeepSVDD,10.529411764705882
IQR,10.529411764705882
OCSVM,10.823529411764707
LOF,10.941176470588236
