algorithm_a,algorithm_b,rank_a,rank_b,rank_diff,critical_difference,significantly_different
LightGBM,XGBoost,2.264705882352941,2.823529411764706,0.5588235294117649,4.811972329475607,False
LightGBM,MLP,2.264705882352941,3.1176470588235294,0.8529411764705883,4.811972329475607,False
LightGBM,RF,2.264705882352941,3.5,1.2352941176470589,4.811972329475607,False
LightGBM,LR,2.264705882352941,3.9411764705882355,1.6764705882352944,4.811972329475607,False
LightGBM,AutoEncoder,2.264705882352941,8.411764705882353,6.147058823529412,4.811972329475607,True
LightGBM,KNN,2.264705882352941,8.411764705882353,6.147058823529412,4.811972329475607,True
LightGBM,IForest,2.264705882352941,9.117647058823529,6.852941176470588,4.811972329475607,True
LightGBM,ECOD,2.264705882352941,10.058823529411764,7.794117647058823,4.811972329475607,True
LightGBM,COPOD,2.264705882352941,10.529411764705882,8.264705882352942,4.811972329475607,True
LightGBM,DeepSVDD,2.264705882352941,10.529411764705882,8.264705882352942,4.811972329475607,True
LightGBM,IQR,2.264705882352941,10.529411764705882,8.264705882352942,4.811972329475607,True
LightGBM,OCSVM,2.264705882352941,10.823529411764707,8.558823529411764,4.811972329475607,True
LightGBM,LOF,2.264705882352941,10.941176470588236,8.676470588235293,4.811972329475607,True
XGBoost,MLP,2.823529411764706,3.1176470588235294,0.2941176470588234,4.811972329475607,False
XGBoost,RF,2.823529411764706,3.5,0.6764705882352939,4.811972329475607,False
XGBoost,LR,2.823529411764706,3.9411764705882355,1.1176470588235294,4.811972329475607,False
XGBoost,AutoEncoder,2.823529411764706,8.411764705882353,5.588235294117647,4.811972329475607,True
XGBoost,KNN,2.823529411764706,8.411764705882353,5.588235294117647,4.811972329475607,True
XGBoost,IForest,2.823529411764706,9.117647058823529,6.2941176470588225,4.811972329475607,True
XGBoost,ECOD,2.823529411764706,10.058823529411764,7.235294117647058,4.811972329475607,True
XGBoost,COPOD,2.823529411764706,10.529411764705882,7.705882352941176,4.811972329475607,True
XGBoost,DeepSVDD,2.823529411764706,10.529411764705882,7.705882352941176,4.811972329475607,True
XGBoost,IQR,2.823529411764706,10.529411764705882,7.705882352941176,4.811972329475607,True
XGBoost,OCSVM,2.823529411764706,10.823529411764707,8.0,4.811972329475607,True
XGBoost,LOF,2.823529411764706,10.941176470588236,8.117647058823529,4.811972329475607,True
MLP,RF,3.1176470588235294,3.5,0.38235294117647056,4.811972329475607,False
MLP,LR,3.1176470588235294,3.9411764705882355,0.8235294117647061,4.811972329475607,False
MLP,AutoEncoder,3.1176470588235294,8.411764705882353,5.294117647058824,4.811972329475607,True
MLP,KNN,3.1176470588235294,8.411764705882353,5.294117647058824,4.811972329475607,True
MLP,IForest,3.1176470588235294,9.117647058823529,6.0,4.811972329475607,True
MLP,ECOD,3.1176470588235294,10.058823529411764,6.9411764705882355,4.811972329475607,True
MLP,COPOD,3.1176470588235294,10.529411764705882,7.411764705882353,4.811972329475607,True
MLP,DeepSVDD,3.1176470588235294,10.529411764705882,7.411764705882353,4.811972329475607,True
MLP,IQR,3.1176470588235294,10.529411764705882,7.411764705882353,4.811972329475607,True
MLP,OCSVM,3.1176470588235294,10.823529411764707,7.7058823529411775,4.811972329475607,True
MLP,LOF,3.1176470588235294,10.941176470588236,7.8235294117647065,4.811972329475607,True
RF,LR,3.5,3.9411764705882355,0.4411764705882355,4.811972329475607,False
RF,AutoEncoder,3.5,8.411764705882353,4.911764705882353,4.811972329475607,True
RF,KNN,3.5,8.411764705882353,4.911764705882353,4.811972329475607,True
RF,IForest,3.5,9.117647058823529,5.617647058823529,4.811972329475607,True
RF,ECOD,3.5,10.058823529411764,6.5588235294117645,4.811972329475607,True
RF,COPOD,3.5,10.529411764705882,7.029411764705882,4.811972329475607,True
RF,DeepSVDD,3.5,10.529411764705882,7.029411764705882,4.811972329475607,True
RF,IQR,3.5,10.529411764705882,7.029411764705882,4.811972329475607,True
RF,OCSVM,3.5,10.823529411764707,7.3235294117647065,4.811972329475607,True
RF,LOF,3.5,10.941176470588236,7.4411764705882355,4.811972329475607,True
LR,AutoEncoder,3.9411764705882355,8.411764705882353,4.470588235294118,4.811972329475607,False
LR,KNN,3.9411764705882355,8.411764705882353,4.470588235294118,4.811972329475607,False
LR,IForest,3.9411764705882355,9.117647058823529,5.1764705882352935,4.811972329475607,True
LR,ECOD,3.9411764705882355,10.058823529411764,6.117647058823529,4.811972329475607,True
LR,COPOD,3.9411764705882355,10.529411764705882,6.588235294117647,4.811972329475607,True
LR,DeepSVDD,3.9411764705882355,10.529411764705882,6.588235294117647,4.811972329475607,True
LR,IQR,3.9411764705882355,10.529411764705882,6.588235294117647,4.811972329475607,True
LR,OCSVM,3.9411764705882355,10.823529411764707,6.882352941176471,4.811972329475607,True
LR,LOF,3.9411764705882355,10.941176470588236,7.0,4.811972329475607,True
AutoEncoder,KNN,8.411764705882353,8.411764705882353,0.0,4.811972329475607,False
AutoEncoder,IForest,8.411764705882353,9.117647058823529,0.7058823529411757,4.811972329475607,False
AutoEncoder,ECOD,8.411764705882353,10.058823529411764,1.6470588235294112,4.811972329475607,False
AutoEncoder,COPOD,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
AutoEncoder,DeepSVDD,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
AutoEncoder,IQR,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
AutoEncoder,OCSVM,8.411764705882353,10.823529411764707,2.4117647058823533,4.811972329475607,False
AutoEncoder,LOF,8.411764705882353,10.941176470588236,2.5294117647058822,4.811972329475607,False
KNN,IForest,8.411764705882353,9.117647058823529,0.7058823529411757,4.811972329475607,False
KNN,ECOD,8.411764705882353,10.058823529411764,1.6470588235294112,4.811972329475607,False
KNN,COPOD,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
KNN,DeepSVDD,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
KNN,IQR,8.411764705882353,10.529411764705882,2.117647058823529,4.811972329475607,False
KNN,OCSVM,8.411764705882353,10.823529411764707,2.4117647058823533,4.811972329475607,False
KNN,LOF,8.411764705882353,10.941176470588236,2.5294117647058822,4.811972329475607,False
IForest,ECOD,9.117647058823529,10.058823529411764,0.9411764705882355,4.811972329475607,False
IForest,COPOD,9.117647058823529,10.529411764705882,1.4117647058823533,4.811972329475607,False
IForest,DeepSVDD,9.117647058823529,10.529411764705882,1.4117647058823533,4.811972329475607,False
IForest,IQR,9.117647058823529,10.529411764705882,1.4117647058823533,4.811972329475607,False
IForest,OCSVM,9.117647058823529,10.823529411764707,1.7058823529411775,4.811972329475607,False
IForest,LOF,9.117647058823529,10.941176470588236,1.8235294117647065,4.811972329475607,False
ECOD,COPOD,10.058823529411764,10.529411764705882,0.47058823529411775,4.811972329475607,False
