dataset_name,algorithm_name,auc_roc,auc_pr,f1_best,fit_time_sec,predict_time_sec,seed,timestamp,notes,experiment_name,modality,status,best_threshold,contamination_mode,contamination_rate,label_flip_rate,n_train,n_test,train_anomaly_rate,test_anomaly_rate,fit_params,artifact_path,error_type,error_message
cardio,Defended_LightGBM_ECOD_Flip,0.97904,0.8601,0.782609,0.165739,0.001927,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.998939,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_ECOD_Flip_bdaaafc655.npz,,
cardio,Defended_LightGBM_COPOD_Trim,0.998402,0.98551,0.929825,0.156219,0.0018,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.105338,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_COPOD_Trim_b012165297.npz,,
cardio,Defended_LightGBM_COPOD_Flip,0.973942,0.819473,0.741379,0.164156,0.001771,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.156927,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_COPOD_Flip_92d1aea909.npz,,
cardio,Defended_LightGBM_OCSVM_Trim,0.998136,0.981268,0.954128,0.181821,0.002406,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.830434,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_OCSVM_Trim_ccfb0cf6c3.npz,,
cardio,Defended_LightGBM_OCSVM_Flip,0.981132,0.843239,0.761194,0.2162,0.002676,42,2026-06-04T14:46:55Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.023897,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_OCSVM_Flip_99289b7f8c.npz,,
cardio,Defended_LightGBM_AutoEncoder_Trim,0.998364,0.98389,0.954128,11.030516,0.001871,42,2026-06-04T14:47:06Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.978114,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_AutoEncoder_Trim_160faee2c5.npz,,
cardio,Defended_LightGBM_AutoEncoder_Flip,0.977062,0.834683,0.747967,7.160252,0.002079,42,2026-06-04T14:47:13Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.065141,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_AutoEncoder_Flip_9c1c776c41.npz,,
cardio,Defended_LightGBM_DeepSVDD_Trim,0.998402,0.98401,0.963636,2.348743,0.004497,42,2026-06-04T14:47:15Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.587272,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_DeepSVDD_Trim_2798775ef6.npz,,
cardio,Defended_LightGBM_DeepSVDD_Flip,0.98486,0.876,0.842105,2.333505,0.002333,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.279045,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_DeepSVDD_Flip_07b7aba674.npz,,
cardio,Standard_XGBoost,0.99962,0.996501,0.972477,0.101085,0.001318,42,2026-06-04T14:47:18Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.68636,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,"{""n_estimators"": 100}",/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Standard_XGBoost_32b8fd5bff.npz,,
